anime_id,name,genre,type,episodes,rating,members,english_name,status,description,image_url
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,Spirited Away,completed,"A young girl wanders into a world ruled by gods, spirits, and spirits, and where humans are changed into beasts.",https://picsum.photos/seed/199/225/320
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,Shigatsu wa Kimi no Uso,completed,Discover the epic story of Shigatsu wa Kimi no Uso. A must-watch for all anime fans!,https://picsum.photos/seed/23273/225/320
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,Mushishi Zoku Shou 2nd Season,completed,Discover the epic story of Mushishi Zoku Shou 2nd Season. A must-watch for all anime fans!,https://picsum.photos/seed/24701/225/320
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,Ookami Kodomo no Ame to Yuki,completed,Discover the epic story of Ookami Kodomo no Ame to Yuki. A must-watch for all anime fans!,https://picsum.photos/seed/12355/225/320
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,Code Geass: Lelouch of the Rebellion,completed,Discover the epic story of Code Geass: Lelouch of the Rebellion. A must-watch for all anime fans!,https://picsum.photos/seed/1575/225/320
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,Hajime no Ippo,completed,Discover the epic story of Hajime no Ippo. A must-watch for all anime fans!,https://picsum.photos/seed/263/225/320
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,completed,Discover the epic story of Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen. A must-watch for all anime fans!,https://picsum.photos/seed/44/225/320
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,Cowboy Bebop,completed,Discover the epic story of Cowboy Bebop. A must-watch for all anime fans!,https://picsum.photos/seed/1/225/320
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,One Punch Man,completed,Discover the epic story of One Punch Man. A must-watch for all anime fans!,https://picsum.photos/seed/30276/225/320
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,Princess Mononoke,completed,Discover the epic story of Princess Mononoke. A must-watch for all anime fans!,https://picsum.photos/seed/164/225/320
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,Suzumiya Haruhi no Shoushitsu,completed,Discover the epic story of Suzumiya Haruhi no Shoushitsu. A must-watch for all anime fans!,https://picsum.photos/seed/7311/225/320
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,Monogatari Series: Second Season,completed,Discover the epic story of Monogatari Series: Second Season. A must-watch for all anime fans!,https://picsum.photos/seed/17074/225/320
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,Mushishi Zoku Shou,completed,Discover the epic story of Mushishi Zoku Shou. A must-watch for all anime fans!,https://picsum.photos/seed/21939/225/320
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,Mushishi,completed,Discover the epic story of Mushishi. A must-watch for all anime fans!,https://picsum.photos/seed/457/225/320
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,Tengen Toppa Gurren Lagann,completed,Discover the epic story of Tengen Toppa Gurren Lagann. A must-watch for all anime fans!,https://picsum.photos/seed/2001/225/320
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,Great Teacher Onizuka,completed,Discover the epic story of Great Teacher Onizuka. A must-watch for all anime fans!,https://picsum.photos/seed/245/225/320
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,Natsume Yuujinchou Go,completed,Discover the epic story of Natsume Yuujinchou Go. A must-watch for all anime fans!,https://picsum.photos/seed/32983/225/320
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,Hajime no Ippo: New Challenger,completed,Discover the epic story of Hajime no Ippo: New Challenger. A must-watch for all anime fans!,https://picsum.photos/seed/5258/225/320
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,Mushishi Zoku Shou: Suzu no Shizuku,completed,Discover the epic story of Mushishi Zoku Shou: Suzu no Shizuku. A must-watch for all anime fans!,https://picsum.photos/seed/28957/225/320
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,Natsume Yuujinchou Shi,completed,Discover the epic story of Natsume Yuujinchou Shi. A must-watch for all anime fans!,https://picsum.photos/seed/11665/225/320
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,Howl no Ugoku Shiro,completed,Discover the epic story of Howl no Ugoku Shiro. A must-watch for all anime fans!,https://picsum.photos/seed/431/225/320
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,Fate/Zero 2nd Season,completed,Discover the epic story of Fate/Zero 2nd Season. A must-watch for all anime fans!,https://picsum.photos/seed/11741/225/320
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,Kizumonogatari II: Nekketsu-hen,completed,Discover the epic story of Kizumonogatari II: Nekketsu-hen. A must-watch for all anime fans!,https://picsum.photos/seed/31757/225/320
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,Monster,completed,Discover the epic story of Monster. A must-watch for all anime fans!,https://picsum.photos/seed/19/225/320
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,Bakuman. 3rd Season,completed,Discover the epic story of Bakuman. 3rd Season. A must-watch for all anime fans!,https://picsum.photos/seed/12365/225/320
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,Death Note,completed,Discover the epic story of Death Note. A must-watch for all anime fans!,https://picsum.photos/seed/1535/225/320
32366,GintamaÂ°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,GintamaÂ°: Aizome Kaori-hen,completed,Discover the epic story of GintamaÂ°: Aizome Kaori-hen. A must-watch for all anime fans!,https://picsum.photos/seed/32366/225/320
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,Ansatsu Kyoushitsu (TV) 2nd Season,completed,Discover the epic story of Ansatsu Kyoushitsu (TV) 2nd Season. A must-watch for all anime fans!,https://picsum.photos/seed/30654/225/320
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,Haikyu!!,completed,Discover the epic story of Haikyu!!. A must-watch for all anime fans!,https://picsum.photos/seed/20583/225/320
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,Hajime no Ippo: Rising,completed,Discover the epic story of Hajime no Ippo: Rising. A must-watch for all anime fans!,https://picsum.photos/seed/19647/225/320
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,Kara no Kyoukai 5: Mujun Rasen,completed,Discover the epic story of Kara no Kyoukai 5: Mujun Rasen. A must-watch for all anime fans!,https://picsum.photos/seed/4282/225/320
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,Natsume Yuujinchou San,completed,Discover the epic story of Natsume Yuujinchou San. A must-watch for all anime fans!,https://picsum.photos/seed/10379/225/320
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,Ping Pong The Animation,completed,Discover the epic story of Ping Pong The Animation. A must-watch for all anime fans!,https://picsum.photos/seed/22135/225/320
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,Mushishi Special: Hihamukage,completed,Discover the epic story of Mushishi Special: Hihamukage. A must-watch for all anime fans!,https://picsum.photos/seed/21329/225/320
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,Boku dake ga Inai Machi,completed,Discover the epic story of Boku dake ga Inai Machi. A must-watch for all anime fans!,https://picsum.photos/seed/31043/225/320
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,Yojouhan Shinwa Taikei,completed,Discover the epic story of Yojouhan Shinwa Taikei. A must-watch for all anime fans!,https://picsum.photos/seed/7785/225/320
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,Aria The Origination,completed,Discover the epic story of Aria The Origination. A must-watch for all anime fans!,https://picsum.photos/seed/3297/225/320
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,Kamisama Hajimemashita: Kako-hen,completed,Discover the epic story of Kamisama Hajimemashita: Kako-hen. A must-watch for all anime fans!,https://picsum.photos/seed/30709/225/320
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,Rainbow: Nisha Rokubou no Shichinin,completed,Discover the epic story of Rainbow: Nisha Rokubou no Shichinin. A must-watch for all anime fans!,https://picsum.photos/seed/6114/225/320
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,Re:Zero kara Hajimeru Isekai Seikatsu,completed,Discover the epic story of Re:Zero kara Hajimeru Isekai Seikatsu. A must-watch for all anime fans!,https://picsum.photos/seed/31240/225/320
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,Tengen Toppa Gurren Lagann Movie: Lagann-hen,completed,Discover the epic story of Tengen Toppa Gurren Lagann Movie: Lagann-hen. A must-watch for all anime fans!,https://picsum.photos/seed/4565/225/320
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,Zoku Natsume Yuujinchou,completed,Discover the epic story of Zoku Natsume Yuujinchou. A must-watch for all anime fans!,https://picsum.photos/seed/5300/225/320
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,completed,Discover the epic story of Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.. A must-watch for all anime fans!,https://picsum.photos/seed/9989/225/320
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,Kuroko no Basket 3rd Season,completed,Discover the epic story of Kuroko no Basket 3rd Season. A must-watch for all anime fans!,https://picsum.photos/seed/24415/225/320
11577,Steins;Gate Movie: Fuka Ryouiki no DÃ©jÃ  vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,Steins;Gate Movie: Fuka Ryouiki no DÃ©jÃ  vu,completed,Discover the epic story of Steins;Gate Movie: Fuka Ryouiki no DÃ©jÃ  vu. A must-watch for all anime fans!,https://picsum.photos/seed/11577/225/320
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,Hotarubi no Mori e,completed,Discover the epic story of Hotarubi no Mori e. A must-watch for all anime fans!,https://picsum.photos/seed/10408/225/320
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,Shokugeki no Souma,completed,Discover the epic story of Shokugeki no Souma. A must-watch for all anime fans!,https://picsum.photos/seed/28171/225/320
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,Yuri!!! on Ice,completed,Discover the epic story of Yuri!!! on Ice. A must-watch for all anime fans!,https://picsum.photos/seed/32995/225/320
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,Gintama: Yorinuki Gintama-san on Theater 2D,completed,Discover the epic story of Gintama: Yorinuki Gintama-san on Theater 2D. A must-watch for all anime fans!,https://picsum.photos/seed/21899/225/320
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,completed,Discover the epic story of JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season. A must-watch for all anime fans!,https://picsum.photos/seed/26055/225/320
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,Gintama Movie: Shinyaku Benizakura-hen,completed,Discover the epic story of Gintama Movie: Shinyaku Benizakura-hen. A must-watch for all anime fans!,https://picsum.photos/seed/7472/225/320
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,Hellsing Ultimate,completed,Discover the epic story of Hellsing Ultimate. A must-watch for all anime fans!,https://picsum.photos/seed/777/225/320
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,Kiseijuu: Sei no Kakuritsu,completed,Discover the epic story of Kiseijuu: Sei no Kakuritsu. A must-watch for all anime fans!,https://picsum.photos/seed/22535/225/320
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,Shouwa Genroku Rakugo Shinjuu,completed,Discover the epic story of Shouwa Genroku Rakugo Shinjuu. A must-watch for all anime fans!,https://picsum.photos/seed/28735/225/320
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,Uchuu Kyoudai,completed,Discover the epic story of Uchuu Kyoudai. A must-watch for all anime fans!,https://picsum.photos/seed/12431/225/320
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,Bakemono no Ko,completed,Discover the epic story of Bakemono no Ko. A must-watch for all anime fans!,https://picsum.photos/seed/28805/225/320
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,Hotaru no Haka,completed,Discover the epic story of Hotaru no Haka. A must-watch for all anime fans!,https://picsum.photos/seed/578/225/320
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,Kuroko no Basket 2nd Season,completed,Discover the epic story of Kuroko no Basket 2nd Season. A must-watch for all anime fans!,https://picsum.photos/seed/16894/225/320
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,Major S5,completed,Discover the epic story of Major S5. A must-watch for all anime fans!,https://picsum.photos/seed/5028/225/320
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,One Piece,on-going,Discover the epic story of One Piece. A must-watch for all anime fans!,https://picsum.photos/seed/21/225/320
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,Ghost in the Shell: Stand Alone Complex 2nd GIG,completed,Discover the epic story of Ghost in the Shell: Stand Alone Complex 2nd GIG. A must-watch for all anime fans!,https://picsum.photos/seed/801/225/320
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,completed,Discover the epic story of JoJo no Kimyou na Bouken: Diamond wa Kudakenai. A must-watch for all anime fans!,https://picsum.photos/seed/31933/225/320
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),completed,Discover the epic story of Kara no Kyoukai 7: Satsujin Kousatsu (Kou). A must-watch for all anime fans!,https://picsum.photos/seed/5205/225/320
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,Kingdom 2nd Season,completed,Discover the epic story of Kingdom 2nd Season. A must-watch for all anime fans!,https://picsum.photos/seed/17389/225/320
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,Slam Dunk,completed,Discover the epic story of Slam Dunk. A must-watch for all anime fans!,https://picsum.photos/seed/170/225/320
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,Usagi Drop,completed,Discover the epic story of Usagi Drop. A must-watch for all anime fans!,https://picsum.photos/seed/10162/225/320
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,Girls und Panzer der Film,completed,Discover the epic story of Girls und Panzer der Film. A must-watch for all anime fans!,https://picsum.photos/seed/18617/225/320
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,Mob Psycho 100,completed,Discover the epic story of Mob Psycho 100. A must-watch for all anime fans!,https://picsum.photos/seed/32182/225/320
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,Nana,completed,Discover the epic story of Nana. A must-watch for all anime fans!,https://picsum.photos/seed/877/225/320
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,Baccano!,completed,Discover the epic story of Baccano!. A must-watch for all anime fans!,https://picsum.photos/seed/2251/225/320
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,Mushishi Zoku Shou: Odoro no Michi,completed,Discover the epic story of Mushishi Zoku Shou: Odoro no Michi. A must-watch for all anime fans!,https://picsum.photos/seed/24687/225/320
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,Attack on Titan,completed,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of giant Titans.",https://picsum.photos/seed/16498/225/320
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,Bakuman. 2nd Season,completed,Discover the epic story of Bakuman. 2nd Season. A must-watch for all anime fans!,https://picsum.photos/seed/10030/225/320
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,Cross Game,completed,Discover the epic story of Cross Game. A must-watch for all anime fans!,https://picsum.photos/seed/5941/225/320
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,Doukyuusei (Movie),completed,Discover the epic story of Doukyuusei (Movie). A must-watch for all anime fans!,https://picsum.photos/seed/30346/225/320
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,Evangelion: 2.0 You Can (Not) Advance,completed,Discover the epic story of Evangelion: 2.0 You Can (Not) Advance. A must-watch for all anime fans!,https://picsum.photos/seed/3784/225/320
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,Shinsekai yori,completed,Discover the epic story of Shinsekai yori. A must-watch for all anime fans!,https://picsum.photos/seed/13125/225/320
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,Uchuu Senkan Yamato 2199,completed,Discover the epic story of Uchuu Senkan Yamato 2199. A must-watch for all anime fans!,https://picsum.photos/seed/12029/225/320
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,Chihayafuru 2,completed,Discover the epic story of Chihayafuru 2. A must-watch for all anime fans!,https://picsum.photos/seed/14397/225/320
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,Fate/Zero,completed,Discover the epic story of Fate/Zero. A must-watch for all anime fans!,https://picsum.photos/seed/10087/225/320
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,JoJo no Kimyou na Bouken (TV),completed,Discover the epic story of JoJo no Kimyou na Bouken (TV). A must-watch for all anime fans!,https://picsum.photos/seed/14719/225/320
9756,Mahou Shoujo Madokaâ˜…Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,Mahou Shoujo Madokaâ˜…Magica,completed,Discover the epic story of Mahou Shoujo Madokaâ˜…Magica. A must-watch for all anime fans!,https://picsum.photos/seed/9756/225/320
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,Nichijou,completed,Discover the epic story of Nichijou. A must-watch for all anime fans!,https://picsum.photos/seed/10165/225/320
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,Psycho-Pass,completed,Discover the epic story of Psycho-Pass. A must-watch for all anime fans!,https://picsum.photos/seed/13601/225/320
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,Barakamon,completed,Discover the epic story of Barakamon. A must-watch for all anime fans!,https://picsum.photos/seed/22789/225/320
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,Diamond no Ace: Second Season,completed,Discover the epic story of Diamond no Ace: Second Season. A must-watch for all anime fans!,https://picsum.photos/seed/30230/225/320
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,Magi: The Kingdom of Magic,completed,Discover the epic story of Magi: The Kingdom of Magic. A must-watch for all anime fans!,https://picsum.photos/seed/18115/225/320
11981,Mahou Shoujo Madokaâ˜…Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,Mahou Shoujo Madokaâ˜…Magica Movie 3: Hangyaku no Monogatari,completed,Discover the epic story of Mahou Shoujo Madokaâ˜…Magica Movie 3: Hangyaku no Monogatari. A must-watch for all anime fans!,https://picsum.photos/seed/11981/225/320
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,Major: World Series,completed,Discover the epic story of Major: World Series. A must-watch for all anime fans!,https://picsum.photos/seed/11917/225/320
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,Samurai Champloo,completed,Discover the epic story of Samurai Champloo. A must-watch for all anime fans!,https://picsum.photos/seed/205/225/320
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,Shokugeki no Souma: Ni no Sara,completed,Discover the epic story of Shokugeki no Souma: Ni no Sara. A must-watch for all anime fans!,https://picsum.photos/seed/32282/225/320
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,Katanagatari,completed,Discover the epic story of Katanagatari. A must-watch for all anime fans!,https://picsum.photos/seed/6594/225/320
11979,Mahou Shoujo Madokaâ˜…Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,Mahou Shoujo Madokaâ˜…Magica Movie 2: Eien no Monogatari,completed,Discover the epic story of Mahou Shoujo Madokaâ˜…Magica Movie 2: Eien no Monogatari. A must-watch for all anime fans!,https://picsum.photos/seed/11979/225/320
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,Major S6,completed,Discover the epic story of Major S6. A must-watch for all anime fans!,https://picsum.photos/seed/7655/225/320
